Report Date,ID,Weights,Position,MKT_val,Name,GICS Sector
2021-10-04,SGFY US Equity,0.7909265677494208,8792110.0,149641712.2,Signify Health Inc,Health Care
2021-10-04,PD US Equity,1.434374400084509,6856512.0,271380744.96,PagerDuty Inc,Information Technology
2021-10-04,U US Equity,4.883568961261845,7709315.0,923961402.75,Unity Software Inc,Information Technology
2021-10-04,ZM US Equity,4.559317460922403,3323113.0,862613672.54,Zoom Video Communications Inc,Information Technology
2021-10-04,EDIT US Equity,0.7856631425883864,3986213.0,148645882.77,Editas Medicine Inc,Health Care
2021-10-04,TWST US Equity,0.8355544704174257,1570487.0,158085221.42,Twist Bioscience Corp,Health Care
2021-10-04,MTLS US Equity,0.3150427800765713,3148730.0,59605458.9,Materialise NV,Information Technology
2021-10-04,TXG US Equity,1.602923548160366,2106041.0,303269904.0,10X Genomics Inc,Health Care
2021-10-05,PACB US Equity,1.158647848805704,9003166.0,226069498.26,Pacific Biosciences of Califor,Health Care
2021-10-05,CRSP US Equity,2.604956670767582,4959176.0,508265948.24,CRISPR Therapeutics AG,Health Care
2021-10-05,TSP US Equity,1.277922175443085,7158820.0,249341700.6,TuSimple Holdings Inc,Industrials
2021-10-05,FATE US Equity,1.81888495912686,6193571.0,354891618.3,Fate Therapeutics Inc,Health Care
2021-10-05,BLI US Equity,0.4644463027921427,4719813.0,90620409.6,Berkeley Lights Inc,Health Care
2021-10-05,NTLA US Equity,2.71547540383167,4083152.0,529829803.52,Intellia Therapeutics Inc,Health Care
2021-10-05,TSLA US Equity,10.06407149403531,2515598.0,1963650642.82,Tesla Inc,Consumer Discretionary
2021-10-05,PLTR US Equity,2.867609766944759,24106570.0,559513489.7,Palantir Technologies Inc,Information Technology
2021-10-05,SE US Equity,0.2455307386221671,149270.0,47906713.8,Sea Ltd,Communication Services
2021-10-05,SSYS US Equity,0.4141321648054095,3583298.0,80803369.9,Stratasys Ltd,Information Technology
2021-10-05,DOCU US Equity,1.67934978169754,1278947.0,327666221.4,DocuSign Inc,Information Technology
2021-10-05,NVTA US Equity,2.149604506931855,15863084.0,419419940.96,Invitae Corp,Health Care
2021-10-05,SQ US Equity,4.019346150215366,3323309.0,784234457.82,Block Inc,Information Technology
2021-10-05,EXAS US Equity,3.203998563836623,6748143.0,625147967.52,Exact Sciences Corp,Health Care
2021-10-05,DNA US Equity,0.8133023769612512,13246030.0,158687439.4,Ginkgo Bioworks Holdings Inc,Health Care
2021-10-05,USD Curncy,-2.050073729934422e-10,-0.04,0.0,US DOLLAR,
2021-10-05,DKNG US Equity,2.784629662250696,11022983.0,543322832.07,DraftKings Inc,Consumer Discretionary
2021-10-05,COIN US Equity,5.442151772950773,4422696.0,1061845082.64,Coinbase Global Inc,Financials
2021-10-05,IRDM US Equity,1.480453608790526,7435228.0,288858607.8,Iridium Communications Inc,Communication Services
2021-10-05,CGEN US Equity,0.1789295747327319,5472074.0,34911832.12,Compugen Ltd,Health Care
2021-10-05,PRLB US Equity,0.4914124492518769,1480573.0,95881907.48,Proto Labs Inc,Industrials
2021-10-05,TER US Equity,0.0,0.0,0.0,Teradyne Inc,Information Technology
2021-10-05,SKLZ US Equity,0.526853347070795,11829339.0,102796955.91,Skillz Inc,Communication Services
2021-10-05,TDOC US Equity,5.677162353425415,8910064.0,1107699156.48,Teladoc Health Inc,Health Care
2021-10-05,DGCXX US Equity,0.4397409421242529,85800024.79,85800024.79,Dreyfus Government Cash Manage,
2021-10-05,NTDOY US Equity,0.0004197525962040729,1500.0,81900.0,Nintendo Co Ltd,Communication Services
2021-10-05,PATH US Equity,3.158906136563751,12009933.0,616349761.56,UiPath Inc,Information Technology
2021-10-05,Z US Equity,3.057138421103382,6895877.0,596493360.5,Zillow Group Inc,Real Estate
2021-10-05,BEAM US Equity,2.262844867499243,5157281.0,441514826.41,Beam Therapeutics Inc,Health Care
2021-10-05,SHOP CN Equity,3.721639308081754,550913.0,726147407.04,Shopify Inc,Information Technology
2021-10-05,TRMB US Equity,0.5800035822201746,1374892.0,113167360.52,Trimble Inc,Information Technology
2021-10-05,TWTR US Equity,2.468463533168789,8046009.0,481634098.74,Twitter Inc,Communication Services
2021-10-05,CERS US Equity,0.3225109228719225,10401107.0,62926697.35,Cerus Corp,Health Care
2021-10-05,TWLO US Equity,3.355607466760534,2044559.0,654729128.57,Twilio Inc,Information Technology
2021-10-05,TWOU US Equity,0.8694725158087925,5016176.0,169647072.32,2U Inc,Consumer Discretionary
2021-10-05,NSTG US Equity,0.1495525403365506,639350.0,29179934.0,NanoString Technologies Inc,Health Care
2021-10-05,VCYT US Equity,0.8652125024719227,3806446.0,168815880.1,Veracyte Inc,Health Care
2021-10-05,SPOT US Equity,3.847031313653571,3323945.0,750613259.9,Spotify Technology SA,Communication Services
2021-10-05,IOVA US Equity,0.7260825241653979,5421720.0,141669543.6,Iovance Biotherapeutics Inc,Health Care
2021-10-05,ROKU US Equity,5.521653152377873,3538002.0,1077356989.02,Roku Inc,Communication Services
2021-10-05,HOOD US Equity,1.220837303742608,5670164.0,238203589.64,Robinhood Markets Inc,Financials
2021-10-05,SGFY US Equity,0.7997461906194057,8916710.0,156042425.0,Signify Health Inc,Health Care
2021-10-05,PD US Equity,1.429482525804575,6953712.0,278913388.32,PagerDuty Inc,Information Technology
2021-10-05,U US Equity,5.131166687270147,7818565.0,1001167248.25,Unity Software Inc,Information Technology
2021-10-05,ZM US Equity,4.536280163215741,3442346.0,885096003.52,Zoom Video Communications Inc,Information Technology
2021-10-05,EDIT US Equity,0.7921121926400203,4042713.0,154552917.99,Editas Medicine Inc,Health Care
2021-10-05,TWST US Equity,0.7992184860095083,1569597.0,155939461.95,Twist Bioscience Corp,Health Care
2021-10-05,MTLS US Equity,0.308380133305993,3146944.0,60169569.28,Materialise NV,Information Technology
2021-10-05,TXG US Equity,1.557625162502793,2135891.0,303915930.39,10X Genomics Inc,Health Care
2021-10-06,PACB US Equity,1.169158553081594,9712092.0,231827636.04,Pacific Biosciences of Califor,Health Care
2021-10-06,CRSP US Equity,2.565051608310306,4986896.0,508613523.04,CRISPR Therapeutics AG,Health Care
2021-10-06,TSP US Equity,1.32441946574723,7198840.0,262613683.2,TuSimple Holdings Inc,Industrials
2021-10-06,FATE US Equity,1.794148249868277,6228191.0,355754269.92,Fate Therapeutics Inc,Health Care
2021-10-06,BLI US Equity,0.4435361457346056,4746193.0,87946956.29,Berkeley Lights Inc,Health Care
2021-10-06,NTLA US Equity,2.685534142321838,4105972.0,532503508.68,Intellia Therapeutics Inc,Health Care
2021-10-06,TSLA US Equity,9.986035161725072,2529658.0,1980089799.5,Tesla Inc,Consumer Discretionary
2021-10-06,PLTR US Equity,2.882759744732379,24241330.0,571610561.4,Palantir Technologies Inc,Information Technology
2021-10-06,SE US Equity,0.2387244451742485,150110.0,47335687.4,Sea Ltd,Communication Services
2021-10-06,SSYS US Equity,0.4244458668245094,3608989.0,84161623.48,Stratasys Ltd,Information Technology
2021-10-06,DOCU US Equity,1.719574688413168,1286087.0,340967385.44,DocuSign Inc,Information Technology
2021-10-06,NVTA US Equity,2.099700866977573,15951764.0,416341040.4,Invitae Corp,Health Care
2021-10-06,SQ US Equity,4.030102827670481,3341889.0,799112497.68,Block Inc,Information Technology
2021-10-06,EXAS US Equity,3.142321234873877,6785863.0,623077940.66,Exact Sciences Corp,Health Care
2021-10-06,DNA US Equity,0.7214836040309306,13508972.0,143060013.48,Ginkgo Bioworks Holdings Inc,Health Care
2021-10-06,USD Curncy,-5.043223375145251e-11,-0.01,0.0,US DOLLAR,
2021-10-06,DKNG US Equity,2.738645297446916,11084603.0,543034700.97,DraftKings Inc,Consumer Discretionary
2021-10-06,COIN US Equity,5.615851221234221,4447416.0,1113544018.08,Coinbase Global Inc,Financials
2021-10-06,IRDM US Equity,1.415524984953211,7476788.0,280678621.52,Iridium Communications Inc,Communication Services
2021-10-06,CGEN US Equity,0.1724323460972537,5470544.0,34190900.0,Compugen Ltd,Health Care
2021-10-06,PRLB US Equity,0.4890659511064043,1444153.0,96974873.95,Proto Labs Inc,Industrials
2021-10-06,TER US Equity,0.0,16583.0,0.0,Teradyne Inc,Information Technology
2021-10-06,SKLZ US Equity,0.4702114575144438,10943227.0,93236294.04,Skillz Inc,Communication Services
2021-10-06,TDOC US Equity,5.805729832078269,9114039.0,1151194266.09,Teladoc Health Inc,Health Care
2021-10-06,DGCXX US Equity,0.4493708708427148,89103899.91,89103899.91,Dreyfus Government Cash Manage,
2021-10-06,NTDOY US Equity,0.0004219664997984031,1500.0,83670.0,Nintendo Co Ltd,Communication Services
2021-10-06,PATH US Equity,3.125766580297934,12077073.0,619795386.36,UiPath Inc,Information Technology
2021-10-06,Z US Equity,3.089410040580123,6934417.0,612586397.78,Zillow Group Inc,Real Estate
2021-10-06,BEAM US Equity,2.233205867042708,5278498.0,442813197.22,Beam Therapeutics Inc,Health Care
2021-10-06,SHOP CN Equity,3.771443834556566,553993.0,747824070.84,Shopify Inc,Information Technology
2021-10-06,TRMB US Equity,0.5707786263941972,1382572.0,113177343.92,Trimble Inc,Information Technology
2021-10-06,TWTR US Equity,2.500917908830754,8090989.0,495896715.81,Twitter Inc,Communication Services
2021-10-06,CERS US Equity,0.3193623118735612,10398200.0,63325038.0,Cerus Corp,Health Care
2021-10-06,TWLO US Equity,3.285653097097466,2055979.0,651498625.52,Twilio Inc,Information Technology
2021-10-06,TWOU US Equity,0.8704282275529067,5147439.0,172593629.67,2U Inc,Consumer Discretionary
2021-10-06,NSTG US Equity,0.1448722015327298,642930.0,28726112.4,NanoString Technologies Inc,Health Care
2021-10-06,VCYT US Equity,0.8404995228925025,3827726.0,166659190.04,Veracyte Inc,Health Care
2021-10-06,SPOT US Equity,3.911184391189952,3342525.0,775532650.5,Spotify Technology SA,Communication Services
